id_aula,id_professor,id_turma,id_sala,id_horario,id_disciplina
1,1,1,1,1,1
2,2,1,1,9,2
3,3,2,1,25,1
4,4,2,1,33,2
5,5,3,2,4,1
6,6,3,2,12,2
7,1,4,2,20,1
8,2,4,2,28,2
9,3,5,1,2,3
10,4,5,1,10,4
11,5,6,1,26,3
12,6,6,1,34,4
13,1,7,2,5,3
14,2,7,2,13,4
15,3,8,2,21,3
16,4,8,2,29,4
17,5,9,1,3,5
18,6,9,1,11,6
19,1,10,1,27,5
20,2,10,1,35,6
21,3,11,2,6,5
22,4,11,2,14,6
23,5,12,2,22,5
24,6,12,2,30,6
25,1,13,1,4,7
26,2,13,1,12,8
27,3,14,1,20,7
28,4,14,1,28,8
29,5,15,2,2,7
30,6,15,2,10,8
31,1,16,2,26,7
32,2,16,2,34,8
33,1,1,1,6,1
34,1,1,1,7,1
35,1,1,1,8,1
36,1,1,1,13,1
37,1,7,1,14,1
38,1,11,1,15,1
39,2,1,1,5,2
40,2,1,1,16,2
41,2,1,1,29,2
42,2,1,1,30,2
43,2,7,1,31,2
44,3,1,1,17,3
45,3,1,1,18,3
46,3,1,1,19,3
47,3,1,1,22,3
48,3,12,1,23,3
49,1,1,1,21,4
50,1,1,1,24,4
51,1,1,1,32,4
52,1,1,1,36,4
53,1,8,1,37,4
54,2,1,1,38,5
55,2,1,1,39,5
56,2,1,1,40,5
