id,turno,dia_semana,horario_inicio,horario_fim
1,Manha,Segunda,07:00,07:50
2,Manha,Segunda,07:50,08:40
3,Manha,Segunda,08:40,09:30
4,Manha,Segunda,09:40,10:30
5,Manha,Segunda,10:30,11:20
6,Manha,Segunda,11:20,12:10
7,Noite,Segunda,19:00,19:50
8,Noite,Segunda,19:50,20:40
9,Noite,Segunda,20:40,21:30
10,Noite,Segunda,21:40,22:30
11,Noite,Segunda,22:30,23:20
12,Noite,Segunda,23:20,00:10
13,Manha,Terca,07:00,07:50
14,Manha,Terca,07:50,08:40
15,Manha,Terca,08:40,09:30
16,Manha,Terca,09:40,10:30
17,Manha,Terca,10:30,11:20
18,Manha,Terca,11:20,12:10
19,Noite,Terca,19:00,19:50
20,Noite,Terca,19:50,20:40
21,Noite,Terca,20:40,21:30
22,Noite,Terca,21:40,22:30
23,Noite,Terca,22:30,23:20
24,Noite,Terca,23:20,00:10
25,Manha,Quarta,07:00,07:50
26,Manha,Quarta,07:50,08:40
27,Manha,Quarta,08:40,09:30
28,Manha,Quarta,09:40,10:30
29,Manha,Quarta,10:30,11:20
30,Manha,Quarta,11:20,12:10
31,Noite,Quarta,19:00,19:50
32,Noite,Quarta,19:50,20:40
33,Noite,Quarta,20:40,21:30
34,Noite,Quarta,21:40,22:30
35,Noite,Quarta,22:30,23:20
36,Noite,Quarta,23:20,00:10
37,Manha,Quinta,07:00,07:50
38,Manha,Quinta,07:50,08:40
39,Manha,Quinta,08:40,09:30
40,Manha,Quinta,09:40,10:30
41,Manha,Quinta,10:30,11:20
42,Manha,Quinta,11:20,12:10
43,Noite,Quinta,19:00,19:50
44,Noite,Quinta,19:50,20:40
45,Noite,Quinta,20:40,21:30
46,Noite,Quinta,21:40,22:30
47,Noite,Quinta,22:30,23:20
48,Noite,Quinta,23:20,00:10
49,Manha,Sexta,07:00,07:50
50,Manha,Sexta,07:50,08:40
51,Manha,Sexta,08:40,09:30
52,Manha,Sexta,09:40,10:30
53,Manha,Sexta,10:30,11:20
54,Manha,Sexta,11:20,12:10
55,Noite,Sexta,19:00,19:50
56,Noite,Sexta,19:50,20:40
57,Noite,Sexta,20:40,21:30
58,Noite,Sexta,21:40,22:30
59,Noite,Sexta,22:30,23:20
60,Noite,Sexta,23:20,00:10
