id,nome,curso,semestre,periodo,quantidade_alunos,disciplinas_exigidas
1,ADS-1A,ADS,1,Manha,35,"1,2"
2,ADS-1B,ADS,1,Manha,35,"1,2"
3,ADS-2A,ADS,2,Manha,35,"3,4"
4,ADS-2B,ADS,2,Manha,35,"3,4"
5,SI-1A,SI,1,Manha,35,"9,10"
6,SI-1B,SI,1,Manha,35,"9,10"
7,SI-2A,SI,2,Manha,35,"11,12"
8,SI-2B,SI,2,Manha,35,"11,12"
9,CIB-1A,Ciberseguranca,1,Manha,35,"17,18"
10,CIB-1B,Ciberseguranca,1,Manha,35,"17,18"
11,CIB-2A,Ciberseguranca,2,Manha,35,"19,20"
12,CIB-2B,Ciberseguranca,2,Manha,35,"19,20"
13,BAN-1A,Banco de Dados,1,Manha,35,"25,26"
14,BAN-1B,Banco de Dados,1,Manha,35,"25,26"
15,BAN-2A,Banco de Dados,2,Manha,35,"27,28"
16,BAN-2B,Banco de Dados,2,Manha,35,"27,28"
17,ADS-3A,ADS,3,Noite,35,"5,6"
18,ADS-3B,ADS,3,Noite,35,"5,6"
19,ADS-4A,ADS,4,Noite,35,"7,8"
20,ADS-4B,ADS,4,Noite,35,"7,8"
21,SI-3A,SI,3,Noite,35,"13,14"
22,SI-3B,SI,3,Noite,35,"13,14"
23,SI-4A,SI,4,Noite,35,"15,16"
24,SI-4B,SI,4,Noite,35,"15,16"
25,CIB-3A,Ciberseguranca,3,Noite,35,"21,22"
26,CIB-3B,Ciberseguranca,3,Noite,35,"21,22"
27,CIB-4A,Ciberseguranca,4,Noite,35,"23,24"
28,CIB-4B,Ciberseguranca,4,Noite,35,"23,24"
29,BAN-3A,Banco de Dados,3,Noite,35,"29,30"
30,BAN-3B,Banco de Dados,3,Noite,35,"29,30"
31,BAN-4A,Banco de Dados,4,Noite,35,"31,32"
32,BAN-4B,Banco de Dados,4,Noite,35,"31,32"
